id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident
42,Road accident kills 7 in Pirojpur,2024-03-08 14:58:22,https://en.prothomalo.com/bangladesh/accident/odn5hyn644,beltala area of pirojpur sadar upazila,pirojpur,7,0,"bus, easy bike, motorcycle",bus ran over an easy bike and a motorcycle,Bangladesh,event,road accident
43,"Father, daughter killed in motorbike accident on Bangabandhu Expressway",2024-02-21 19:03:06,https://en.prothomalo.com/bangladesh/local-news/l8wttn5g3y,bangabandhu sheikh mujibur rahman expressway near hasara fish market,"sreenagar, munshiganj",2,0,motorbike,,Bangladesh,event,road accident
44,NISCHA decides stop providing information on accidents,2024-01-29 17:48:18,https://en.prothomalo.com/bangladesh/accident/304qo59kw5,national press club,dhaka,0,0,,inconsistent data from various agencies,Bangladesh,event,road accident
54,Compensation for victims of road accidents from 22 October,2023-10-02 09:09:38,https://en.prothomalo.com/bangladesh/2z4ex90y8k,maligram area on bangabandhu sheikh mujibur rahman highway (dhaka-bhanga expressway),faridpur,8,0,ambulance,hit the guardrail of the highway and caught fire,Bangladesh,event,road accident
57,4 killed in Brahmanbaria road accident,2023-08-21 20:58:13,https://en.prothomalo.com/bangladesh/accident/obnq6z6rly,dhaka-sylhet highway in sohagpur bus stand area,brahmanbaria,4,3,covered van and cng-run auto-rickshaw,covered van hit a cng-run auto-rickshaw,Bangladesh,event,road accident
59,"Monitor bulkheads, conduct mobile courts to prevent waterway accidents: National committee",2023-08-07 15:32:07,https://en.prothomalo.com/bangladesh/0radt5s9hc,waterways,,0,0,"vessels, sand-carrying vessels (bulkheads)","illegal vessels, lack of monitoring and control of sand-carrying vessels movement",Bangladesh,event,road accident
60,"Road accidents: Why is the law not implemented?

",2023-08-07 09:39:20,https://en.prothomalo.com/opinion/editorial/x5us9wakow,jhalakathi,jhalakathi,17,0,passenger bus,"driver's rashness, unprofessional behaviour, driving heavy vehicles with light vehicle driving license, and deteriorated road condition.",Bangladesh,event,road accident
63,Two killed in Tangail road accident,2023-08-05 20:44:08,https://en.prothomalo.com/bangladesh/accident/5lppc2ia60,kalihati upazila,tangail,2,0,private car and motorcycle,collision,Bangladesh,event,road accident
64,Two killed in Gazipur road accident,2023-08-04 14:26:18,https://en.prothomalo.com/bangladesh/accident/pszobbrvkz,dhaka-tangail highway,gazipur,2,8,microbus,,Bangladesh,event,road accident
65,ASI killed in Cumilla road accident,2023-08-03 10:07:25,https://en.prothomalo.com/bangladesh/accident/6uz33z1545,chapitala union,cumilla,1,1,"motorcycle, auto rickshaw",collision between motorcycle and auto rickshaw,Bangladesh,event,road accident
66,3 killed in Rajshahi road accident,2023-08-02 15:41:11,https://en.prothomalo.com/bangladesh/accident/yx9im5af9f,mohanpur area,rajshahi,3,5,"cattle-laden human hauler, a truck and a battery-run auto rickshaw",collision,Bangladesh,event,road accident
67,Road accident kills three in Kurigram,2023-07-29 09:57:51,https://en.prothomalo.com/bangladesh/accident/5lhag15dma,kurigram-bhurungamari regional highway,kurigram,3,0,motorcycle,,Bangladesh,event,road accident
69,University student among 2 killed in Dhaka road accidents,2023-07-14 09:26:24,https://en.prothomalo.com/bangladesh/accident/3n9bqir0ye,rampura and hatirjheel,dhaka,2,0,,,Bangladesh,event,road accident
72,3 die in Nilphamari road accidents,2023-07-08 21:02:37,https://en.prothomalo.com/bangladesh/accident/jkwqpguiw2,jaldhaka and kishoreganj upazilas of nilphamari,nilphamari,3,0,,,Bangladesh,event,road accident
76,7 victims of Faridpur road accident identified,2023-06-24 19:14:50,https://en.prothomalo.com/bangladesh/accident/8b32ggknca,dhaka-bhanga expressway near the maligram flyover,bhanga,7,0,ambulance,hitting the railing of a road and catching fire,Bangladesh,event,road accident
79,3 killed in Lalmonirhat road accident,2023-06-03 11:44:10,https://en.prothomalo.com/bangladesh/accident/ghrigz3nw4,lalmonirhat-burimari highway in kaliganj upazila,lalmonirhat,3,6,truck and cng-run auto-rickshaw,truck rammed into a cng-run auto-rickshaw,Bangladesh,event,road accident
80,2 killed in separate city accidents,2023-06-02 15:00:15,https://en.prothomalo.com/bangladesh/accident/yzn70z5qyf,jatrabari chourasta mor,jatrabari,2,0,bus,bus hit miraz and fled the scene,Bangladesh,event,road accident
83,Two college students killed in Kushtia road accident,2023-05-25 20:30:04,https://en.prothomalo.com/bangladesh/accident/9xly1owkch,paikpara mirzapur village,kushtia,2,0,motorbike and bus,head-on collision,Bangladesh,event,road accident
84,Three killed in Jhenaidah road accident,2023-05-05 11:25:00,https://en.prothomalo.com/bangladesh/accident/wt082mzzrn,kotchandpur upazila,jhenaidah district,3,7,battery-run van and pick-up van,collision,Bangladesh,event,road accident
86,"Police SI, ACC official killed in Barishal road accident",2023-04-23 10:13:47,https://en.prothomalo.com/bangladesh/accident/n8aa9tej5l,barishal-jhalokathi highway,barishal,2,0,"motorcycle, bus",speeding bus rammed into motorcycle,Bangladesh,event,road accident
89,Motorcyclist killed in Bhola road accident,2023-04-10 15:31:05,https://en.prothomalo.com/bangladesh/accident/bekkqkkzqp,howladar market area,sadar upazila,1,1,"motorcycle, road roller",lost control over the bike and hit a standing road roller,Bangladesh,event,road accident
92,Four reasons behind Madaripur road accident,2023-03-23 22:17:00,https://en.prothomalo.com/bangladesh/accident/eucfsdzmlg,padma bridge expressway,padma bridge,0,0,bus,"lacking in professionalism, reckless driving, driver's inefficiency to drive the heavy vehicle",Bangladesh,event,road accident
93,"Transport minister should step down over Madaripur accident: BNP

",2023-03-21 15:54:06,https://en.prothomalo.com/bangladesh/politics/nbt5usiy21,padma bridge expressway,madaripur,21,0,bus,fitness certificate and route permit issues,Bangladesh,event,road accident
94,BNP is now doing politics over road accidents: Quader,2023-03-21 09:51:27,https://en.prothomalo.com/bangladesh/politics/9m0zdau7pz,road,,0,0,,,Bangladesh,event,road accident
95,Three killed in Dinajpur road accident,2023-03-21 09:47:11,https://en.prothomalo.com/bangladesh/accident/66q77hg4w7,"dinajpur-rangpur highway, in front of the darbarpur jame masjid",dinajpur,3,8,"pickup van, bus",crash,Bangladesh,event,road accident
96,Driver's exhaustion lead to accident,2023-03-20 20:00:44,https://en.prothomalo.com/bangladesh/accident/2a0cqmc7kn,padma bridge expressway in kutubpur under shibpur upazila of madaripur,madaripur,19,0,bus,speeding and exhaustion,Bangladesh,event,road accident
97,Bus conductor killed in city road accident,2023-03-20 15:54:22,https://en.prothomalo.com/bangladesh/accident/n07mfq5eqa,azimpur bus stand,dhaka,1,0,bus,knocked down by an unidentified vehicle,Bangladesh,event,road accident
99,"Emad Paribahan bus: Route permit was suspended, involved in accident earlier",2023-03-19 20:11:36,https://en.prothomalo.com/bangladesh/fumgm71qkk,padma bridge expressway at shibchar,madaripur,19,25,bus,driver lost control,Bangladesh,event,road accident
100,"Shibchar bus accident: Two die at Dhaka Medical, death toll rises to 19",2023-03-19 15:24:53,https://en.prothomalo.com/bangladesh/accident/pjq80wq6fj,shibchar,madaripur,19,2,,,Bangladesh,event,road accident
101,Two killed in separate accidents in Sylhet,2023-03-14 09:15:48,https://en.prothomalo.com/bangladesh/accident/xfm3omxiik,goalabazar,osmaninagar,1,0,local bus,fell from a moving bus,Bangladesh,event,road accident
102,4 dead as microbus catches fire after accident in Mymensingh,2023-03-13 11:48:49,https://en.prothomalo.com/bangladesh/accident/dawjry8qtu,dhaka-mymensingh highway in trishal upazila,mymensingh,4,7,microbus,overturned and caught fire,Bangladesh,event,road accident
103,"2 women killed in separate road accidents in Dinajpur

",2023-03-10 22:56:51,https://en.prothomalo.com/bangladesh/accident/urw6qun2ar,chirirbandar upazila and nawabganj upazila,dinajpur,2,0,,,Bangladesh,event,road accident
105,"Five killed in road accidents in Tangail, Lalmonirhat",2023-03-02 09:14:34,https://en.prothomalo.com/bangladesh/accident/qh8h0ip1xd,analiabari area of bangabandu bridge link road under kalihati upazila,tangail,3,15,pick-up van,lost control and fell into a roadside ditch,Bangladesh,event,road accident
108,Five killed in Narsingdi road accident,2023-02-26 16:54:30,https://en.prothomalo.com/bangladesh/accident/i8ddjv1sx2,bhatpara shakurar intersection,madhabdi,5,9,,,Bangladesh,event,road accident
109,Road accident kills five Bangladeshi nationals in South Africa,2023-02-24 19:05:09,https://en.prothomalo.com/bangladesh/ic1ls2t9ny,south africa,feni,5,2,,,Bangladesh,event,road accident
110,"Road accidents leave 3, including 2 siblings, dead",2023-02-05 15:53:11,https://en.prothomalo.com/bangladesh/accident/lti0brylkr,mokamtala and kalibala areas,bogura,3,20,,,Bangladesh,event,road accident
113,Integrated database on road accidents needed to cut loss ,2023-01-19 21:37:59,https://en.prothomalo.com/opinion/interview/mjqrna6l98,bangladesh,,0,0,,,Bangladesh,event,road accident
118,Road accidents kill 2 in Sirajganj,2023-01-07 20:49:04,https://en.prothomalo.com/bangladesh/accident/rbltn31q7z,mulibari railgate area,sirajganj,2,4,truck,hit by a truck,Bangladesh,event,road accident
119,Magura road accident leaves one dead,2023-01-02 15:54:48,https://en.prothomalo.com/bangladesh/accident/w2zzcen74q,mohammadpur upazila,mohammadpur,1,1,"motorcycle, three-wheeler, auto-rickshaw",collision,Bangladesh,event,road accident
123,Two killed in Kushtia road accident,2022-12-25 11:20:50,https://en.prothomalo.com/bangladesh/accident/dod4w3hr4c,shyamnagar market area,kushtia,2,0,"motorcycle, trolley",motorcycle collided with a trolley,Bangladesh,event,road accident
124,"Road accidents in Kurigram, Savar kill five",2022-12-24 19:04:01,https://en.prothomalo.com/bangladesh/accident/fcppmtvwqr,trimohini area of the kurigram-rangpur road and on phulbari-dharla road in phulbari upazila,kurigram,5,5,"bus, auto-rickshaw",vehicle lost control and rammed into another vehicle and a grocery store,Bangladesh,event,road accident
127,Three of a family killed in Madaripur accident,2022-12-04 09:34:32,https://en.prothomalo.com/bangladesh/accident/k24j74j6xa,madaripur,sadar upazila,3,0,tractor,tractor overturned and fell into a canal,Bangladesh,event,road accident
128,Accident on DU campus: Driver sued under road transport act,2022-12-03 11:07:35,https://en.prothomalo.com/bangladesh/city/sx58w2j5ph,dhaka university campus,dhaka,1,0,car,reckless driving,Bangladesh,event,road accident
129,Three killed in Chandpur road accident,2022-11-27 12:44:54,https://en.prothomalo.com/bangladesh/accident/g96orf0y45,beribadh road in bagan bari union,"matlab north upazila, chandpur",3,0,bike and trolley truck,head-on collision,Bangladesh,event,road accident
131,Four killed in road accident in Cumilla,2022-10-31 20:15:38,https://en.prothomalo.com/bangladesh/accident/a18fsxnc96,katerpool area,chandina in cumilla,4,2,"pick-up van, cng-run auto rickshaw, bus","reckless bus hit pick-up van from behind, causing it to run over an auto rickshaw",Bangladesh,event,road accident
132,Four killed in Gazipur road accident,2022-10-15 11:48:53,https://en.prothomalo.com/bangladesh/accident/ni38r7x7im,dhaka-mymensingh highway in telipara,gazipur,4,0,"rickshaw van, buses",vehicle was pressed in between two buses,Bangladesh,event,road accident
135,"3 killed, 9 injured in Sirajganj microbus accident",2022-10-04 14:17:59,https://en.prothomalo.com/bangladesh/accident/9ogz0539cc,sirajganj flyover,sirajganj,3,9,"microbus, bus","speeding bus hit microbus, crashed into railing",Bangladesh,event,road accident
139,"Zebra crossing, speed breaker on road after CU teacher’s death in accident",2022-09-03 21:38:07,https://en.prothomalo.com/bangladesh/accident/v4nwnlpxa8,university's gate no. 1 area,chittagong,1,0,microbus,,Bangladesh,event,road accident
142,Female college student killed in road accident on Hanif flyover   ,2022-08-30 20:30:40,https://en.prothomalo.com/bangladesh/accident/wutt7skjp9,"mayor hanif flyover, sayedabad area",dhaka,1,0,motorbike,vehicle hit motorbike,Bangladesh,event,road accident
143,School girl killed in city road accident,2022-08-24 13:57:39,https://en.prothomalo.com/bangladesh/accident/hnela78bm6,jurain area,kadamtali thana,1,1,auto rickshaw,speeding,Bangladesh,event,road accident
145,"Five deaths: It’s murder, not accident",2022-08-17 20:55:17,https://en.prothomalo.com/bangladesh/gi1lc3v7th,"brt project, dhaka’s hazrat shahjalal international airport to gazipur",gazipur,5,0,car,"indiscipline, negligence and carelessness",Bangladesh,event,road accident
146,"Project plagued with negligence, cost overrun and accidents ",2022-08-16 16:22:41,https://en.prothomalo.com/bangladesh/city/ws3g50ngxd,"jasimuddin road area in uttara, airport road",uttara,5,0,"car, flyover girders",collapse of brt flyover girders,Bangladesh,event,road accident
147,2 bikers killed in Pabna accident,2022-08-14 10:55:32,https://en.prothomalo.com/bangladesh/accident/pvykx4zcd6,pabna-pakshi highway,pabna,2,0,"truck, motorcycle",speeding truck hit their motorcycle,Bangladesh,event,road accident
148,75-yr-old killed in road accident in Dhaka,2022-08-10 13:30:04,https://en.prothomalo.com/bangladesh/accident/wa3qhqgjrs,shyampur in the city’s jurain area,dhaka,1,0,truck,hit by a truck,Bangladesh,event,road accident
153,Couple among three killed in Cumilla road accident,2022-07-24 14:09:51,https://en.prothomalo.com/bangladesh/accident/qeg2bik9ln,dhaka-chattogram highway in illiotganj area,undefined,3,0,private car,hit a roadside tree,Bangladesh,event,road accident
155,Worker killed in Kurigram road accident,2022-07-22 13:00:35,https://en.prothomalo.com/bangladesh/accident/qvyz83oyrr,chandipur bridge,kurigram,1,0,truck,driver lost control of the vehicle,Bangladesh,event,road accident
156,"Road accidents, casualties during Eid journey break 7-year record",2022-07-19 16:09:41,https://en.prothomalo.com/bangladesh/accident/cd5xmlseji,dhaka reporters unity auditorium,dhaka,398,774,motorcycle,,Bangladesh,event,road accident
159,Road accident kills three in Tangail ,2022-07-16 11:40:48,https://en.prothomalo.com/bangladesh/local-news/1nwvs8zhyn,mirzapur,tangail,3,20,passenger bus and parked truck,passenger bus rammed into a parked truck,Bangladesh,event,road accident
160,"Three killed in Gazipur flyover road accident
",2022-07-15 15:50:06,https://en.prothomalo.com/bangladesh/accident/1w560y6b4j,konabari flyover,gazipur,3,1,car and motorcycle,collision,Bangladesh,event,road accident
161,Three youths killed in Dinajpur road accident,2022-07-13 18:38:07,https://en.prothomalo.com/bangladesh/accident/60tm6706yp,dinajpur sadar upazila,dinajpur,3,2,car,fell into a roadside ditch,Bangladesh,event,road accident
162,Three killed in Keraniganj road accident,2022-07-10 14:28:31,https://en.prothomalo.com/bangladesh/city/three-killed-in-keraniganj-road-accident,dhaka-mawa highway,dhaka,3,0,"pickup van, truck",truck hit their vehicle,Bangladesh,event,road accident
164,Road accident kills four in Tangail,2022-07-09 13:16:20,https://en.prothomalo.com/bangladesh/local-news/road-accident-kills-four-in-tangail,dhanbari,tangail,4,0,"bus, van",bus hit their van,Bangladesh,event,road accident
165,Two killed in Faridpur road accident,2022-07-08 10:43:24,https://en.prothomalo.com/bangladesh/accident/two-killed-in-faridpur-road-accident,"dhaka-khulna highway, arkandi area, madhukhali upazila",faridpur,2,0,"auto-rickshaw, truck",speeding truck hit auto-rickshaw,Bangladesh,event,road accident
167,Man killed in Chapainawabganj road accident,2022-07-04 13:02:02,https://en.prothomalo.com/bangladesh/accident/man-killed-in-chapainawabganj-road-accident,moharajpur chowdhurypara intersection,chapainawabganj sadar,1,0,,,Bangladesh,event,road accident
168,2 motorcyclists die in first accident on Padma Bridge,2022-06-27 11:23:35,https://en.prothomalo.com/bangladesh/accident/2-motorcyclists-die-in-first-accident-on-padma-bridge,padma bridge,,2,0,motorcycle,,Bangladesh,event,road accident
169,Bangladesh counts highest death rates from bike accidents ,2022-06-18 00:04:08,https://en.prothomalo.com/bangladesh/accident/bangladesh-counts-highest-death-rates-from-bike-accidents,amtali bridge,sherpur sadar,1,0,motorcycle,lost control and fell,Bangladesh,event,road accident
172,Seven killed in road accidents in three districts,2022-06-04 08:39:33,https://en.prothomalo.com/bangladesh/accident/seven-killed-in-road-accidents-in-three-districts,teghoria,keraniganj,5,1,"cng-run auto-rickshaw, lorry",collision,Bangladesh,event,road accident
174,"Two killed, 11 injured in Khulna road accident",2022-06-01 13:07:08,https://en.prothomalo.com/bangladesh/accident/two-killed-11-injured-in-khulna-road-accident,gutudia area of dumuria upazila,khulna,2,11,"bus, bike",speeding bus hit a bike before plunging into a roadside ditch,Bangladesh,event,road accident
175,Policeman killed in city road accident,2022-05-31 16:18:44,https://en.prothomalo.com/bangladesh/accident/policeman-killed-in-city-road-accident,kakrail crossing,dhaka,1,0,"motorcycle, covered van",covered van hit his motorcycle,Bangladesh,event,road accident
177,ASI killed in road accident in Chattogram,2022-05-20 22:41:27,https://en.prothomalo.com/bangladesh/accident/asi-killed-in-road-accident-in-chattogram,cement crossing area,chattogram,1,0,,on duty,Bangladesh,event,road accident
179,7 killed in Gopalganj road accident,2022-05-14 13:00:22,https://en.prothomalo.com/bangladesh/accident/7-killed-in-gopalganj-road-accident,south fukra area,kashiani upazila,7,0,"bus, private car, motorcycle",collision,Bangladesh,event,road accident
180,Two teens killed in Munshiganj car accident,2022-05-14 11:48:28,https://en.prothomalo.com/bangladesh/accident/two-teens-killed-in-munshiganj-car-accident,tongibari upazila,munshiganj,2,1,car,plunged into a canal,Bangladesh,event,road accident
181,830 killed in motorcycle accidents in four months,2022-05-09 13:39:58,https://en.prothomalo.com/bangladesh/accident/830-killed-in-motorcycle-accidents-in-four-months,national institute of traumatology and orthopaedic rehabilitation (nitor),dhaka,0,16,motorcycle,,Bangladesh,event,road accident
183,Two killed in Jhalakathi road accident,2022-05-04 12:21:23,https://en.prothomalo.com/bangladesh/accident/two-killed-in-jhalakathi-road-accident,barisal-patuakhali highway,jhalakathi,2,1,"bike, battery-run three-wheeler",collision,Bangladesh,event,road accident
184,2 killed in road accident on Khilgaon flyover,2022-04-29 10:57:19,https://en.prothomalo.com/bangladesh/accident/2-killed-in-road-accident-on-khilgaon-flyover,khilgaon flyover,dhaka,2,0,"motorcycle, lorry",lorry hit motorcyclists,Bangladesh,event,road accident
185,Biker killed in Chattogram road accident,2022-04-13 13:20:39,https://en.prothomalo.com/bangladesh/accident/biker-killed-in-chattogram-road-accident,near the bgb office in the bazalia area of satkania upazila,chattogram,1,1,"motorcycle, bus",speeding bus,Bangladesh,event,road accident
187,Child death in road accidents on the rise: Road Safety Foundation,2022-04-05 17:40:42,https://en.prothomalo.com/bangladesh/accident/child-death-in-road-accidents-on-the-rise-road-safety-foundation,dhaka,dhaka,3,0,"motorcycle, truck",truck accident,Bangladesh,event,road accident
190,"NSU student killed in ‘road accident’ on Khilkhet flyover

",2022-04-01 16:37:51,https://en.prothomalo.com/bangladesh/city/nsu-student-killed-in-road-accident-on-khilkhet-flyover,khilkhet flyover,dhaka,1,0,,suspected road accident,Bangladesh,event,road accident
191,Death of a mother: Murder or accident?,2022-03-31 19:51:57,https://en.prothomalo.com/opinion/op-ed/death-of-a-mother-murder-or-accident,navy market in mirpur 14,dhaka,1,2,"passenger bus, rickshaw",reckless driving by both drivers,Bangladesh,event,road accident
192,Pori Moni injured in ‘accident’,2022-03-28 10:01:29,https://en.prothomalo.com/entertainment/movies/pori-moni-injured-in-accident,evercare hospital,dhaka,0,1,,accident,Bangladesh,event,road accident
194,Road accident on Dhaka-Sylhet highway kills 3,2022-03-17 12:38:07,https://en.prothomalo.com/bangladesh/accident/road-accident-on-dhaka-sylhet-highway-kills-3,dhaka-sylhet highway,narsingdi,3,0,"bus, microbus",head-on collision,Bangladesh,event,road accident
195,Couple killed in Nilphamari road accident,2022-03-13 16:53:40,https://en.prothomalo.com/bangladesh/accident/couple-killed-in-nilphamari-road-accident,kazirhat,nilphamari sadar,2,0,road crash,,Bangladesh,event,road accident
196,Two killed in bike accidents in Dhaka,2022-03-11 16:42:54,https://en.prothomalo.com/bangladesh/accident/two-killed-in-bike-accidents-in-dhaka,mirpur area,dhaka,2,2,motorcycle,,Bangladesh,event,road accident
198,"Road accident kills biker in Dhaka, motorcycle missing ",2022-02-22 21:08:07,https://en.prothomalo.com/bangladesh/accident/road-accident-kills-biker-in-dhaka-motorcycle-missing,kasaibari railgate area,dhaka,1,0,"bus, motorcycle",bus ran over a man riding a motorcycle,Bangladesh,event,road accident
199,Cox's Bazar road accident: Raktim finally loses battle for life,2022-02-22 12:17:39,https://en.prothomalo.com/bangladesh/accident/coxs-bazar-road-accident-raktim-finally-loses-battle-for-life,chittagong medical college hospital,chittagong,1,0,pickup van,hit by a pickup van,Bangladesh,event,road accident
200,"Woman, grandchild killed in Gazipur road accident",2022-02-12 15:58:41,https://en.prothomalo.com/bangladesh/accident/woman-grandchild-killed-in-gazipur-road-accident,mc bazar,gazipur,2,0,"auto-rickshaw, bike","collision between auto-rickshaws and a bike, leading to overturning",Bangladesh,event,road accident
201,"2 killed, 10 injured in Dinajpur bus accident",2022-02-12 12:12:22,https://en.prothomalo.com/bangladesh/accident/2-killed-10-injured-in-dinajpur-bus-accident,chirirbandar,dinajpur,2,10,bus,fell into a roadside ditch,Bangladesh,event,road accident
202,Four brothers die in road accident,2022-02-08 14:06:22,https://en.prothomalo.com/bangladesh/accident/four-brothers-die-in-road-accident,malumghat area of chakaria upazila,cox's bazar,4,4,pick-up van,the pick-up van hit them while crossing the highway.,Bangladesh,event,road accident
203,"2 killed in Cumilla road accident

",2022-02-04 17:16:32,https://en.prothomalo.com/bangladesh/accident/2-killed-in-cumilla-road-accident,nazira bazar area of cumilla's burichang upazila,cumilla,2,0,motorcycle,,Bangladesh,event,road accident
204,Gulshan restaurant manager killed in road accident,2022-02-04 13:48:47,https://en.prothomalo.com/bangladesh/accident/gulshan-restaurant-manager-killed-in-road-accident,rampura,dhaka,1,0,"motorcycle, oil tanker",oil tanker hit motorcycle,Bangladesh,event,road accident
206,Three killed in Manikganj road accident ,2022-01-29 17:28:29,https://en.prothomalo.com/bangladesh/accident/three-killed-in-manikganj-road-accident,mahadevpur bus stand on the dhaka-aricha highway,shibalaya upazila,3,0,"bus, auto-rickshaw",bus hit an auto-rickshaw,Bangladesh,event,road accident
207,Two killed in road accident in Joypurhat ,2022-01-22 16:20:57,https://en.prothomalo.com/bangladesh/accident/two-killed-in-road-accident-in-joypurhat,"joypurhat-bogura road, shalbon area",joypurhat,2,0,"passenger bus, pickup van",collision due to dense fog,Bangladesh,event,road accident
209,Journalist killed in Hatirjheel road accident,2022-01-19 10:15:24,https://en.prothomalo.com/bangladesh/accident/journalist-killed-in-hatirjheel-road-accident,begunbari area of hatirjheel,dhaka,1,0,vehicle,run over by a speeding vehicle,Bangladesh,event,road accident
211,Four killed in separate bike accidents,2022-01-14 21:30:43,https://en.prothomalo.com/bangladesh/accident/four-killed-in-separate-bike-accidents,china intersection in shambhuganj,mymensingh,3,1,"motorcycle, truck",truck hit motorcycle,Bangladesh,event,road accident
213,"2 killed, 5 injured in Natore road accident",2022-01-12 11:15:28,https://en.prothomalo.com/bangladesh/accident/2-killed-5-injured-in-natore-road-accident,takia area of natore sadar upazila,natore,2,5,"bus, truck, rickshaw van",collision,Bangladesh,event,road accident
216,"Four killed, 10 injured in Sirajganj road accident",2021-12-31 14:01:17,https://en.prothomalo.com/bangladesh/accident/four-killed-10-injured-in-sirajganj-road-accident,hatikumrul-bonpara highway near goja bridge area,sirajganj,4,10,"bus, van",bus overturned and fell on a van,Bangladesh,event,road accident
220,"2 killed, 3 injured in road accident in Dinajpur",2021-12-11 12:56:25,https://en.prothomalo.com/bangladesh/accident/2-killed-3-injured-in-road-accident-in-dinajpur,dinajpur-panchagarh highway,dinajpur,2,3,"truck, cycle van",truck hit a cycle van,Bangladesh,event,road accident
221,"Father, daughter killed in N'ganj road accident ",2021-12-10 18:41:20,https://en.prothomalo.com/bangladesh/accident/father-daughter-killed-in-nganj-road-accident,chasara area of the district,narayanganj,2,1,road,,Bangladesh,event,road accident
